date,deck,my class,win,opponent deck,opponent class,rank
12/13/2015,Midrange,Druid,0,Secret,Paladin,11
12/13/2015,Midrange,Druid,1,Secret,Paladin,11
12/13/2015,Midrange,Druid,0,Midrange,Druid,11
12/13/2015,Midrange,Druid,0,Midrange,Druid,11
12/13/2015,Midrange,Druid,0,Midrange,Hunter,11
12/13/2015,Midrange,Druid,0,Aggro,Shaman,11
12/13/2015,Midrange,Druid,1,Silence,Druid,11
12/13/2015,Midrange,Druid,0,Control,Priest,11
12/13/2015,Midrange,Druid,0,Michael Bay,Mage,11
12/13/2015,Midrange,Druid,0,Aggro,Shaman,12
12/13/2015,Midrange,Druid,0,Michael Bay,Mage,12
12/13/2015,Midrange,Druid,1,Miracle,Rogue,12
12/13/2015,Midrange,Hunter,0,Secret,Paladin,12
12/13/2015,Midrange,Hunter,1,Michael Bay,Mage,12
12/13/2015,Midrange,Hunter,1,Miracle,Rogue,12
12/13/2015,Midrange,Hunter,1,Aggro,Hunter,11
12/13/2015,Midrange,Hunter,0,Michael Bay,Mage,11
12/13/2015,Midrange,Hunter,0,Murloc,Paladin,11
12/13/2015,Midrange,Hunter,1,Aggro,Hunter,12
12/13/2015,Midrange,Hunter,0,Control,Warrior,12
12/13/2015,Midrange,Hunter,1,Aggro,Hunter,12
12/13/2015,Midrange,Hunter,1,Secret,Paladin,12
12/13/2015,Midrange,Hunter,1,Murloc,Paladin,12
12/13/2015,Midrange,Hunter,1,Murloc,Paladin,11
12/13/2015,Midrange,Hunter,1,Aggro,Shaman,11
12/13/2015,Midrange,Hunter,0,Midrange,Druid,11
12/13/2015,Midrange,Hunter,0,Dragon,Warrior,11
12/13/2015,Midrange,Hunter,1,Control,Priest,11
12/13/2015,Midrange,Hunter,0,Secret,Paladin,12
12/13/2015,Midrange,Hunter,0,Aggro,Shaman,11
12/13/2015,Midrange,Hunter,0,Secret,Paladin,12
12/14/2015,Midrange,Hunter,0,Secret,Paladin,12
12/14/2015,Midrange,Hunter,0,Control,Priest,12
12/14/2015,Midrange,Druid,0,Control,Warrior,12
12/14/2015,Midrange,Druid,1,Secret,Paladin,12
12/14/2015,Midrange,Druid,1,Demon,Warlock,12
12/14/2015,Midrange,Druid,1,Aggro,Shaman,12
12/14/2015,Midrange,Druid,1,Reno,Warlock,12
12/14/2015,Midrange,Druid,0,Secret,Paladin,13
12/14/2015,Midrange,Druid,0,Aggro,Hunter,13
12/14/2015,Midrange,Druid,0,Control,Priest,13
12/14/2015,Midrange,Druid,0,Control,Warrior,13
12/14/2015,Midrange,Druid,1,Control,Priest,13
12/14/2015,Midrange,Druid,0,Secret,Paladin,13
12/14/2015,Midrange,Druid,0,Aggro,Shaman,13
12/14/2015,Midrange,Druid,0,Midrange,Druid,13
12/14/2015,Midrange,Druid,0,Undefined,Warlock,13
12/14/2015,Midrange,Druid,0,Reno,Warlock,13
12/14/2015,Midrange,Druid,1,Aggro,Shaman,13
12/14/2015,Midrange,Druid,1,Secret,Paladin,13
12/14/2015,Midrange,Druid,1,Control,Priest,13
12/14/2015,Midrange,Druid,0,Control,Warrior,12
12/14/2015,Midrange,Druid,1,Secret,Paladin,12
12/14/2015,Midrange,Druid,1,Midrange,Shaman,12
12/14/2015,Midrange,Druid,0,Control,Priest,12
12/14/2015,Midrange,Druid,0,Control,Warlock,12
12/14/2015,Midrange,Druid,1,Secret,Paladin,11
12/14/2015,Midrange,Druid,1,Control,Paladin,11
12/14/2015,Midrange,Druid,0,Control,Paladin,11
12/14/2015,Midrange,Druid,0,Mech,Mage,11
12/14/2015,Midrange,Druid,0,Secret,Paladin,11
12/14/2015,Midrange,Druid,1,Secret,Paladin,11
12/14/2015,Midrange,Druid,1,Midrange,Hunter,11
12/14/2015,Midrange,Druid,0,Secret,Paladin,11
12/14/2015,Midrange,Druid,0,Control,Priest,11
12/14/2015,Midrange,Druid,1,Control,Priest,11
12/14/2015,Midrange,Druid,0,Aggro,Shaman,11
12/14/2015,Midrange,Druid,0,Secret,Paladin,11
12/14/2015,Midrange,Druid,0,Control,Priest,12
12/14/2015,Midrange,Druid,1,Control,Warrior,12
12/14/2015,Midrange,Druid,0,Midrange,Hunter,12
12/14/2015,Midrange,Druid,0,Aggro,Warlock,12
12/14/2015,Midrange,Druid,0,Aggro,Hunter,12
12/14/2015,Midrange,Druid,1,Midrange,Druid,12
12/14/2015,Midrange,Druid,1,Midrange,Paladin,12
12/14/2015,Midrange,Druid,0,Secrets,Paladin,12
12/14/2015,Midrange,Druid,0,Midrange,Druid,12
12/14/2015,Midrange,Druid,0,Control,Warrior,12
12/14/2015,Midrange,Druid,0,Michael Bay,Mage,12
12/14/2015,Midrange,Druid,0,Control,Priest,13
12/14/2015,Midrange,Druid,1,Midrange,Hunter,13
12/14/2015,Midrange,Druid,1,Aggro,Druid,12
12/14/2015,Midrange,Druid,1,Michael Bay,Mage,12
12/14/2015,Midrange,Druid,1,Reno,Warlock,12
12/14/2015,Midrange,Druid,0,Michael Bay,Mage,12
12/14/2015,Midrange,Druid,1,Secrets,Paladin,11
12/14/2015,Midrange,Druid,1,Reno,Warlock,11
12/14/2015,Midrange,Druid,0,Secrets,Paladin,11
12/15/2015,Midrange,Druid,1,Control,Priest,11
12/15/2015,Midrange,Druid,1,Aggro,Warlock,11
12/15/2015,Midrange,Druid,1,Reno,Warlock,11
12/15/2015,Midrange,Druid,1,Reno,Warlock,11
12/15/2015,Midrange,Druid,1,Control,Priest,11
12/15/2015,Midrange,Druid,1,Treasure,Druid,10
12/15/2015,Midrange,Druid,1,Aggro,Shaman,10
12/15/2015,Midrange,Druid,0,Mech,Mage,10
12/15/2015,Midrange,Druid,1,Agro,Warlock,10
